file	bytes	skin	frames	seconds30	match	candidateCount	candidateUUIDs	descriptions	sha256	duplicateOf
Hip Hop Dancing.fbx	56033008	with-skin	518.0	17.2667	ambiguous-name	17	c9c65cae-b96c-11e4-a802-0aaa78deedf9 | c9c65d8a-b96c-11e4-a802-0aaa78deedf9 | c9c65e61-b96c-11e4-a802-0aaa78deedf9 | c9c65f2a-b96c-11e4-a802-0aaa78deedf9 | c9c65ff3-b96c-11e4-a802-0aaa78deedf9 | c9c66120-b96c-11e4-a802-0aaa78deedf9 | c9c661f0-b96c-11e4-a802-0aaa78deedf9 | c9c7438e-b96c-11e4-a802-0aaa78deedf9 | c9c6fa80-b96c-11e4-a802-0aaa78deedf9 | c9c6f09b-b96c-11e4-a802-0aaa78deedf9 | c9c6e3a5-b96c-11e4-a802-0aaa78deedf9 | c9c6e172-b96c-11e4-a802-0aaa78deedf9 | c9c6e0ad-b96c-11e4-a802-0aaa78deedf9 | c9c6f15b-b96c-11e4-a802-0aaa78deedf9 | c9c6ed9e-b96c-11e4-a802-0aaa78deedf9 | c9c6f217-b96c-11e4-a802-0aaa78deedf9 | c9c6e4c9-b96c-11e4-a802-0aaa78deedf9	Female Hip Hop 'Arm Wave' Dancing | Female Hip Hop 'Body Wave' Dancing | Female Hip Hop 'Kick Step' Dancing | Female Hip Hop 'Raise The Roof' Dancing | Female Hip Hop 'Rib Pops' Dancing | Female Hip Hop 'Running Man' Dancing | Female Hip Hop 'Slide Step' Dancing | Hip Hop Dance Moonwalk | Hip Hop Dancing Bboy Variation One | Hip Hop Dancing Really Twirl | Hip Hop Dancing Shimmy | Hip Hop Dancing Side To Side | Hip Hop Just Listening Dancing Variation | Hip Hop Quake Variation 1 | Hip Hop Robot Dance Variation Two | Hip Hop Runningman Dance | Timid Dancing	953c622380ee13353cc0a44703ce4286c58037720d4e7e78a5b1d08af066c301	
Idle (1).fbx	1010416	without-skin	301.0	10.0333	ambiguous-name	17	c9cadd1a-b96c-11e4-a802-0aaa78deedf9 | c9ca94bd-b96c-11e4-a802-0aaa78deedf9 | c9ccf750-b96c-11e4-a802-0aaa78deedf9 | c9c98e99-b96c-11e4-a802-0aaa78deedf9 | c9c9ff70-b96c-11e4-a802-0aaa78deedf9 | c9c60b71-b96c-11e4-a802-0aaa78deedf9 | c9caaa17-b96c-11e4-a802-0aaa78deedf9 | c9cad94a-b96c-11e4-a802-0aaa78deedf9 | c9cada0b-b96c-11e4-a802-0aaa78deedf9 | c9c9965a-b96c-11e4-a802-0aaa78deedf9 | c9ce8927-b96c-11e4-a802-0aaa78deedf9 | c9caa3e7-b96c-11e4-a802-0aaa78deedf9 | c9c972d1-b96c-11e4-a802-0aaa78deedf9 | c9c981a2-b96c-11e4-a802-0aaa78deedf9 | c9c99350-b96c-11e4-a802-0aaa78deedf9 | c9caa05e-b96c-11e4-a802-0aaa78deedf9 | c9c79c65-b96c-11e4-a802-0aaa78deedf9	Bouncing Boxing Idle | Crouched For Cover Against Object | Female Idle | Looking Over Both Shoulders | Looking Over Both Shoulders | Male Boxing Idle | Male Fitness Idle | Male Fitness Idle | Male Fitness Idle With Breathing | Ready Pose To Adjusting Stance | Rifle Standing Idle | Standing Cover Against Object | Standing Idle | Standing Idle | Standing Idle | Standing Short Idle | Weight Shift Idle	9053640ff37b51a6f40a263ea37420c19e21e50c90ac8d2b505d45498859c10f	
Idle (2).fbx	671536	without-skin	121.0	4.0333	ambiguous-name	17	c9cadd1a-b96c-11e4-a802-0aaa78deedf9 | c9ca94bd-b96c-11e4-a802-0aaa78deedf9 | c9ccf750-b96c-11e4-a802-0aaa78deedf9 | c9c98e99-b96c-11e4-a802-0aaa78deedf9 | c9c9ff70-b96c-11e4-a802-0aaa78deedf9 | c9c60b71-b96c-11e4-a802-0aaa78deedf9 | c9caaa17-b96c-11e4-a802-0aaa78deedf9 | c9cad94a-b96c-11e4-a802-0aaa78deedf9 | c9cada0b-b96c-11e4-a802-0aaa78deedf9 | c9c9965a-b96c-11e4-a802-0aaa78deedf9 | c9ce8927-b96c-11e4-a802-0aaa78deedf9 | c9caa3e7-b96c-11e4-a802-0aaa78deedf9 | c9c972d1-b96c-11e4-a802-0aaa78deedf9 | c9c981a2-b96c-11e4-a802-0aaa78deedf9 | c9c99350-b96c-11e4-a802-0aaa78deedf9 | c9caa05e-b96c-11e4-a802-0aaa78deedf9 | c9c79c65-b96c-11e4-a802-0aaa78deedf9	Bouncing Boxing Idle | Crouched For Cover Against Object | Female Idle | Looking Over Both Shoulders | Looking Over Both Shoulders | Male Boxing Idle | Male Fitness Idle | Male Fitness Idle | Male Fitness Idle With Breathing | Ready Pose To Adjusting Stance | Rifle Standing Idle | Standing Cover Against Object | Standing Idle | Standing Idle | Standing Idle | Standing Short Idle | Weight Shift Idle	5a0dcf683f5bcc574098784eca7cb16d7fc02389a312619ca14d68467a56af82	
Idle.fbx	55027712	with-skin	121.0	4.0333	ambiguous-name	17	c9cadd1a-b96c-11e4-a802-0aaa78deedf9 | c9ca94bd-b96c-11e4-a802-0aaa78deedf9 | c9ccf750-b96c-11e4-a802-0aaa78deedf9 | c9c98e99-b96c-11e4-a802-0aaa78deedf9 | c9c9ff70-b96c-11e4-a802-0aaa78deedf9 | c9c60b71-b96c-11e4-a802-0aaa78deedf9 | c9caaa17-b96c-11e4-a802-0aaa78deedf9 | c9cad94a-b96c-11e4-a802-0aaa78deedf9 | c9cada0b-b96c-11e4-a802-0aaa78deedf9 | c9c9965a-b96c-11e4-a802-0aaa78deedf9 | c9ce8927-b96c-11e4-a802-0aaa78deedf9 | c9caa3e7-b96c-11e4-a802-0aaa78deedf9 | c9c972d1-b96c-11e4-a802-0aaa78deedf9 | c9c981a2-b96c-11e4-a802-0aaa78deedf9 | c9c99350-b96c-11e4-a802-0aaa78deedf9 | c9caa05e-b96c-11e4-a802-0aaa78deedf9 | c9c79c65-b96c-11e4-a802-0aaa78deedf9	Bouncing Boxing Idle | Crouched For Cover Against Object | Female Idle | Looking Over Both Shoulders | Looking Over Both Shoulders | Male Boxing Idle | Male Fitness Idle | Male Fitness Idle | Male Fitness Idle With Breathing | Ready Pose To Adjusting Stance | Rifle Standing Idle | Standing Cover Against Object | Standing Idle | Standing Idle | Standing Idle | Standing Short Idle | Weight Shift Idle	03fd8fdd5e9fffde068f53faa64b8872bffa9506bbc6803d9ae335cac23a1183	
Idle1.fbx	671536	without-skin	121.0	4.0333	ambiguous-name	17	c9cadd1a-b96c-11e4-a802-0aaa78deedf9 | c9ca94bd-b96c-11e4-a802-0aaa78deedf9 | c9ccf750-b96c-11e4-a802-0aaa78deedf9 | c9c98e99-b96c-11e4-a802-0aaa78deedf9 | c9c9ff70-b96c-11e4-a802-0aaa78deedf9 | c9c60b71-b96c-11e4-a802-0aaa78deedf9 | c9caaa17-b96c-11e4-a802-0aaa78deedf9 | c9cad94a-b96c-11e4-a802-0aaa78deedf9 | c9cada0b-b96c-11e4-a802-0aaa78deedf9 | c9c9965a-b96c-11e4-a802-0aaa78deedf9 | c9ce8927-b96c-11e4-a802-0aaa78deedf9 | c9caa3e7-b96c-11e4-a802-0aaa78deedf9 | c9c972d1-b96c-11e4-a802-0aaa78deedf9 | c9c981a2-b96c-11e4-a802-0aaa78deedf9 | c9c99350-b96c-11e4-a802-0aaa78deedf9 | c9caa05e-b96c-11e4-a802-0aaa78deedf9 | c9c79c65-b96c-11e4-a802-0aaa78deedf9	Bouncing Boxing Idle | Crouched For Cover Against Object | Female Idle | Looking Over Both Shoulders | Looking Over Both Shoulders | Male Boxing Idle | Male Fitness Idle | Male Fitness Idle | Male Fitness Idle With Breathing | Ready Pose To Adjusting Stance | Rifle Standing Idle | Standing Cover Against Object | Standing Idle | Standing Idle | Standing Idle | Standing Short Idle | Weight Shift Idle	8271cb4d888e16358002731ca5faa3aad89d8cba368245e48699fc6768842c7f	
Jump.fbx	54863008	with-skin	66.0	2.2	ambiguous-name	8	c9ccec92-b96c-11e4-a802-0aaa78deedf9 | c9ccfe2b-b96c-11e4-a802-0aaa78deedf9 | c9cd217e-b96c-11e4-a802-0aaa78deedf9 | c9ccebcf-b96c-11e4-a802-0aaa78deedf9 | c9ccee21-b96c-11e4-a802-0aaa78deedf9 | c9c86cd4-b96c-11e4-a802-0aaa78deedf9 | c9c97399-b96c-11e4-a802-0aaa78deedf9 | c9c97f8f-b96c-11e4-a802-0aaa78deedf9	Backward Running Jump | Female Forward Running Jump | Female Ninja Running Jump | Forward Running Jump | Jump In Place | Jump While Walking And Aiming Rifle | Jumping In Place | Jumping In Place	671023b126ed32a909d907dfa1a1e6a5089e7704b2a7fde2b1e894216dad9205	
Kneeling Inspecting.fbx	661568	without-skin	149.0	4.9667	unique-name	1	c9c8cded-b96c-11e4-a802-0aaa78deedf9	Kneeling And Inspecting Element With Hands	0203ee6edf5b89ef4028ba56452a6f65054e71cc3bb9c605438db5495fe2450d	
Left Cover Sneak.fbx	372512	without-skin	35.0	1.1667	ambiguous-name	2	c9c9a063-b96c-11e4-a802-0aaa78deedf9 | c9caa18e-b96c-11e4-a802-0aaa78deedf9	Left Standing Sneak Behind Cover | Left Standing Sneak Behind Cover	57b44ff731ea62b381c5ad45ddb5f45360d1f1ff6c1ca0c341e76778efb8b105	
Lifting.fbx	900592	without-skin	217.0	7.2333	unique-name	1	c9c6fe3b-b96c-11e4-a802-0aaa78deedf9	Pick Up Object And Examine	6af83b7ea2f451c995ee3a99f21333b5f647dcca458c820487c5ebc775dea756	
Look Over Shoulder (1).fbx	54995632	with-skin	114.0	3.8	unique-name	1	c9c8d27d-b96c-11e4-a802-0aaa78deedf9	Quick Nervous Look Over Right Shoulder	1b78824e7ebf59ae9cf353266b70f81f7950a62eef731e0214e0bf50b0c147a2	
Look Over Shoulder.fbx	54995632	with-skin	114.0	3.8	unique-name	1	c9c8d27d-b96c-11e4-a802-0aaa78deedf9	Quick Nervous Look Over Right Shoulder	a681720231c4260e7a3dc16c63cffe650e5b87a8a445c58d1add042ed89755ec	
Looking Behind.fbx	635760	without-skin	122.0	4.0667	unique-name	1	c9c8c433-b96c-11e4-a802-0aaa78deedf9	Standing Idle Looking Behind Over Right Side	1e1eb363959d62ed5fe3abb174c592345726e0c2c385d0f901bd4d01d5f306f0	
Looking Through Files Low.fbx	1474480	without-skin	433.0	14.4333	unique-name	1	c9ca04b6-b96c-11e4-a802-0aaa78deedf9	Male Looking Through A File Cabinet Low	0d188ca235d46d8addf5529b66b2d71524b1e7904dd56e4e3ef26fec142d3d68	
Looking.fbx	55006048	with-skin	144.0	4.8	ambiguous-name	3	c9c9645b-b96c-11e4-a802-0aaa78deedf9 | c9c6fef8-b96c-11e4-a802-0aaa78deedf9 | c9c86288-b96c-11e4-a802-0aaa78deedf9	Looking At Something And Shading Eyes | Looking Off Into The Distance | Looking With Hand Shading Eyes	b07e1c4fb9e5c9a66842c99149c57cbb0f8158f581ec7ee89be67aacac18ce9e	
Looking1.fbx	702768	without-skin	147.0	4.9	ambiguous-name	3	c9c9645b-b96c-11e4-a802-0aaa78deedf9 | c9c6fef8-b96c-11e4-a802-0aaa78deedf9 | c9c86288-b96c-11e4-a802-0aaa78deedf9	Looking At Something And Shading Eyes | Looking Off Into The Distance | Looking With Hand Shading Eyes	590a0fb3d6ff5d09487a372364c2c60b1191449eb833e09939053d7811553922	
Male Laying Pose.fbx	54623024	with-skin	2.0	0.0667	ambiguous-name	6	62e92e9c-623b-4754-9cb7-c234973eb982 | 31027f3c-03cb-41c0-a7ca-c7cc149a6d53 | 304a666d-6d1c-4ddd-9944-8710879c309c | f501b173-92d7-40a2-b213-286e3c69173f | cc3de474-7811-47ad-972c-152326c0b59a | 757589a5-d1c8-45bc-a0a0-76cf6adba4e5	On Back, Left Leg Bent | On Back, Left Leg Bent, Hands Behind Head | On Back, Legs Crossed, Hands Behind Head | On Left Side, Left Arm Supporting | On Left Side, Left Arm Supporting Head | On Right Side, Right Arm Supporting	bc208f3b530b26c9a6ed60d04e7589250a3da36281fed9ef870597853888f701	
Male Standing Pose (1).fbx	54623040	with-skin	2.0	0.0667	ambiguous-name	14	08f3514a-0d3b-469d-9f27-57f97d9fcb9b | 64a05ff5-38ab-4b26-a925-808769f6b8bf | 4ce6d573-d378-4908-9552-42a8a05af500 | 93695678-9ffe-4e41-b775-2f8ca5c7c15d | 3bf002cc-5527-4c84-b55c-23db82a48d51 | 5d0f41e7-12d2-4d5b-98fc-42efbdd05929 | 1fe07cde-9aa2-478b-870e-397601e63507 | 08b56eb4-f99a-4e1b-a3df-bb543f33dbbf | c6c4ddd1-3bfa-439d-aabb-bb80d03e4388 | aaba4531-7c08-4d2c-a7a6-8eae3879611d | 670efeec-dabc-492d-a713-a8a28a959249 | e6070070-bfbf-4fb2-87c9-ba85671346a1 | 0b2ee33c-87ea-4f85-9c9e-f517f883de7a | 01da8857-474f-404d-aa34-2e09e697f02c	Arms Behind Back | Arms Slightly Spread | Left Elbow Resting On Object | Left Hand On Hip | Left Leg On Object, Left Hand On Knee | Left Leg On Object, Left Hand On Knee, Right Hand On Hip | Legs Crossed, Leaning On Object | Legs Crossed, Left Arm On Object, Right Hand On Hip | Looking Forward | Looking Left | Looking Right | Right Hand Behind Head | Right Leg On Object, Hands Crossed | Right Leg On Object, Left Hand On Hip, Right Hand On Chin	24fcc98985e7e9750c95a5a5c0f6b13ba1f33953a72c063c941ec7db565ed967	
Male Standing Pose (2).fbx	54623040	with-skin	2.0	0.0667	ambiguous-name	14	08f3514a-0d3b-469d-9f27-57f97d9fcb9b | 64a05ff5-38ab-4b26-a925-808769f6b8bf | 4ce6d573-d378-4908-9552-42a8a05af500 | 93695678-9ffe-4e41-b775-2f8ca5c7c15d | 3bf002cc-5527-4c84-b55c-23db82a48d51 | 5d0f41e7-12d2-4d5b-98fc-42efbdd05929 | 1fe07cde-9aa2-478b-870e-397601e63507 | 08b56eb4-f99a-4e1b-a3df-bb543f33dbbf | c6c4ddd1-3bfa-439d-aabb-bb80d03e4388 | aaba4531-7c08-4d2c-a7a6-8eae3879611d | 670efeec-dabc-492d-a713-a8a28a959249 | e6070070-bfbf-4fb2-87c9-ba85671346a1 | 0b2ee33c-87ea-4f85-9c9e-f517f883de7a | 01da8857-474f-404d-aa34-2e09e697f02c	Arms Behind Back | Arms Slightly Spread | Left Elbow Resting On Object | Left Hand On Hip | Left Leg On Object, Left Hand On Knee | Left Leg On Object, Left Hand On Knee, Right Hand On Hip | Legs Crossed, Leaning On Object | Legs Crossed, Left Arm On Object, Right Hand On Hip | Looking Forward | Looking Left | Looking Right | Right Hand Behind Head | Right Leg On Object, Hands Crossed | Right Leg On Object, Left Hand On Hip, Right Hand On Chin	24fcc98985e7e9750c95a5a5c0f6b13ba1f33953a72c063c941ec7db565ed967	Male Standing Pose (1).fbx
Male Standing Pose (3).fbx	54623040	with-skin	2.0	0.0667	ambiguous-name	14	08f3514a-0d3b-469d-9f27-57f97d9fcb9b | 64a05ff5-38ab-4b26-a925-808769f6b8bf | 4ce6d573-d378-4908-9552-42a8a05af500 | 93695678-9ffe-4e41-b775-2f8ca5c7c15d | 3bf002cc-5527-4c84-b55c-23db82a48d51 | 5d0f41e7-12d2-4d5b-98fc-42efbdd05929 | 1fe07cde-9aa2-478b-870e-397601e63507 | 08b56eb4-f99a-4e1b-a3df-bb543f33dbbf | c6c4ddd1-3bfa-439d-aabb-bb80d03e4388 | aaba4531-7c08-4d2c-a7a6-8eae3879611d | 670efeec-dabc-492d-a713-a8a28a959249 | e6070070-bfbf-4fb2-87c9-ba85671346a1 | 0b2ee33c-87ea-4f85-9c9e-f517f883de7a | 01da8857-474f-404d-aa34-2e09e697f02c	Arms Behind Back | Arms Slightly Spread | Left Elbow Resting On Object | Left Hand On Hip | Left Leg On Object, Left Hand On Knee | Left Leg On Object, Left Hand On Knee, Right Hand On Hip | Legs Crossed, Leaning On Object | Legs Crossed, Left Arm On Object, Right Hand On Hip | Looking Forward | Looking Left | Looking Right | Right Hand Behind Head | Right Leg On Object, Hands Crossed | Right Leg On Object, Left Hand On Hip, Right Hand On Chin	24fcc98985e7e9750c95a5a5c0f6b13ba1f33953a72c063c941ec7db565ed967	Male Standing Pose (1).fbx
Male Standing Pose.fbx	54623040	with-skin	2.0	0.0667	ambiguous-name	14	08f3514a-0d3b-469d-9f27-57f97d9fcb9b | 64a05ff5-38ab-4b26-a925-808769f6b8bf | 4ce6d573-d378-4908-9552-42a8a05af500 | 93695678-9ffe-4e41-b775-2f8ca5c7c15d | 3bf002cc-5527-4c84-b55c-23db82a48d51 | 5d0f41e7-12d2-4d5b-98fc-42efbdd05929 | 1fe07cde-9aa2-478b-870e-397601e63507 | 08b56eb4-f99a-4e1b-a3df-bb543f33dbbf | c6c4ddd1-3bfa-439d-aabb-bb80d03e4388 | aaba4531-7c08-4d2c-a7a6-8eae3879611d | 670efeec-dabc-492d-a713-a8a28a959249 | e6070070-bfbf-4fb2-87c9-ba85671346a1 | 0b2ee33c-87ea-4f85-9c9e-f517f883de7a | 01da8857-474f-404d-aa34-2e09e697f02c	Arms Behind Back | Arms Slightly Spread | Left Elbow Resting On Object | Left Hand On Hip | Left Leg On Object, Left Hand On Knee | Left Leg On Object, Left Hand On Knee, Right Hand On Hip | Legs Crossed, Leaning On Object | Legs Crossed, Left Arm On Object, Right Hand On Hip | Looking Forward | Looking Left | Looking Right | Right Hand Behind Head | Right Leg On Object, Hands Crossed | Right Leg On Object, Left Hand On Hip, Right Hand On Chin	a72d16139b1a16236b383db0c2fcd89983cd5dcdbee9e2c4a7efdf7ac19f4203	
Open Door Outwards.fbx	726080	without-skin	124.0	4.1333	unique-name	1	c9ca4de1-b96c-11e4-a802-0aaa78deedf9	Open Door Outwards While Walking	cbfaacb741c297ae13a68c667436d8ae1cd95acb3c0f6e1c37c6d1f7679123ce	
Opening (1).fbx	1179376	without-skin	330.0	11.0	ambiguous-name	3	c9c84f3e-b96c-11e4-a802-0aaa78deedf9 | c9c6d61e-b96c-11e4-a802-0aaa78deedf9 | c9c6d49e-b96c-11e4-a802-0aaa78deedf9	Attempting To Open A Door | Opening And Closing Cabinet Door | Opening Cabinet Door	59fb1835a3cb4ed43a256a12360510c467b6b02c8d51cadd0249c065fccb0972	
Opening (2).fbx	679920	without-skin	158.0	5.2667	ambiguous-name	3	c9c84f3e-b96c-11e4-a802-0aaa78deedf9 | c9c6d61e-b96c-11e4-a802-0aaa78deedf9 | c9c6d49e-b96c-11e4-a802-0aaa78deedf9	Attempting To Open A Door | Opening And Closing Cabinet Door | Opening Cabinet Door	2dbd8fa36cf721da87822b1627acb0ebde99136fd72b0b0303d3b347b15b21f5	
Opening Door Inwards (1).fbx	55186192	with-skin	192.0	6.4	unique-name	1	c9ca099c-b96c-11e4-a802-0aaa78deedf9	Male Walking And Opening A Door Inwards	d8f59305af455cf79498c744f3927e9a5e4c640f2822a44ce9823dff33e6efd6	
Opening Door Inwards (2).fbx	831056	without-skin	192.0	6.4	unique-name	1	c9ca099c-b96c-11e4-a802-0aaa78deedf9	Male Walking And Opening A Door Inwards	15e34cb22efab2a6756f4205d2a8f90481eca5433a46927354647596b1a5a338	
Opening Door Inwards.fbx	55186192	with-skin	192.0	6.4	unique-name	1	c9ca099c-b96c-11e4-a802-0aaa78deedf9	Male Walking And Opening A Door Inwards	685c7543f98de20a379d93d315a1154b52471624d47d7a2aaa18f1e600371840	
Opening Door Inwards1.fbx	831056	without-skin	192.0	6.4	unique-name	1	c9ca099c-b96c-11e4-a802-0aaa78deedf9	Male Walking And Opening A Door Inwards	7a4c6f424a116f2abcdb5095936e2707ec14575a01e7deae258df4ffbafcf4eb	
Opening.fbx	55531824	with-skin	330.0	11.0	ambiguous-name	3	c9c84f3e-b96c-11e4-a802-0aaa78deedf9 | c9c6d61e-b96c-11e4-a802-0aaa78deedf9 | c9c6d49e-b96c-11e4-a802-0aaa78deedf9	Attempting To Open A Door | Opening And Closing Cabinet Door | Opening Cabinet Door	247253c556b294eb7d10e14c3d638353dd532f6c76125c14521bf9141f54550e	
Opening1.fbx	688176	without-skin	145.0	4.8333	ambiguous-name	3	c9c84f3e-b96c-11e4-a802-0aaa78deedf9 | c9c6d61e-b96c-11e4-a802-0aaa78deedf9 | c9c6d49e-b96c-11e4-a802-0aaa78deedf9	Attempting To Open A Door | Opening And Closing Cabinet Door | Opening Cabinet Door	43bcabea2dd787c6aabef89471713f7448394e0e8a79863ce957b7d4d52b80a2	
Pistol Aim.fbx	832272	without-skin	214.0	7.1333	unique-name	1	c9c8b958-b96c-11e4-a802-0aaa78deedf9	Pistol Aim To Holster Idle	8bcca044ae62eade9545b4072fc53a8c2f12d8ce090028216f911015b46ea786	
Pulling Lever.fbx	55118704	with-skin	189.0	6.3	unique-name	1	c9c8524e-b96c-11e4-a802-0aaa78deedf9	Pulling A Lever Down	b6eea76f35784a4f859df619f8c51118df75665ad0b8001309e27ba493226148	
Pulling Lever1.fbx	762528	without-skin	189.0	6.3	unique-name	1	c9c8524e-b96c-11e4-a802-0aaa78deedf9	Pulling A Lever Down	5b5554b34a0f77c88b297b77fa44090d2b29129f66ef85e36a80a9e83667f10e	
